title,author,date,link,sentiment_label,sentiment_score,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,keywords
Bee Sting,Erin Belieu,"Jan 7, 2016",http://poetry.lib.uidaho.edu/index.php/poems/bee-sting/,negative,-0.352035,0.411366,0.134164,0.5647,0.000,0.045282,unprovoked attack; beach towel; hot concrete; fatal anger; small plot; bees; hard way; ointments; welts; stinger; barefoot; hive; harm; lips; feet; rage; reason; cloud; pain; fall; swing-set; bed
Rose Red,Erin Belieu,"Apr 4, 2016",http://poetry.lib.uidaho.edu/index.php/poems/rose-red/,negative,-0.237032,0.124854,0.804887,0.027179,0.010,0.086276,ordinary fruit ripening; circling bird; hooked thorns; opposite sides; public table; mouth water; flowering trees; bloom fall; bedroom windowone; mother; nub; liking; indiscriminate; hairs; troll; sweetness; beard; gull; scissors; chin; blossoms; mirrors; wings; shadow; fur; thumbnail; sister; hands; spine; prize; brother; bowl; cottage; face; prince; woman; bear; eyes; way; red; course
The Small Sound of Quiet Animals,Erin Belieu,"Mar 23, 2016",http://poetry.lib.uidaho.edu/index.php/poems/the-small-sound-of-quiet-animals/,negative,-0.291011,0.124192,0.435337,0.451053,0.225,0.548731,single expensive vase; dark closet doorway; white spot whistling; smallest provocation; damp curtains; bared teeth; tulip face; comfortable chair; dresser drawer; serpentine highway; Jehovah landlord; feed myfish; quiet animals; municipal bars; Blue Earth; small sounds; shape; lampshade; tilts; Minnesota; baseboards; bed; forearm; bangs; Pipestone; radiator; Pemberton; ripple; dollars; sweat; fist; Curl; smile; elbow; night; Mankato; leg; evening; sleep; splash; pool; desk; daughters; boots; haunches; Nordic; answers; finger; man; leaves
The Spring Burials,Erin Belieu,"Feb 27, 2016",http://poetry.lib.uidaho.edu/index.php/poems/the-spring-burials/,negative,-0.387369,0.162183,0.163556,0.419787,0.249,0.60995,curled leg; asphalt mean; shoebox nests; slender prop; newborn birds; jelly jars; best intentions; arrange things; pretty weed; study ways; Violets; fool; spring; Occupy; spite; fuss; deed; blacktop; sunlight; twist; wings; brush; eggs; worms; grief; moment; green; management
My Field Guide,Erin Belieu,"Dec 2, 2015",http://poetry.lib.uidaho.edu/index.php/poems/my-field-guide/,negative,-0.211304,0.178088,0.451369,0.172281,0.159,0.517001,lakeside goldenrod; purple cluster; rhythmic knocking; all-classifying explanations; true names; evolution’s hunt; agitation; tamarack; throat; woodpecker; mouth; bee; bees; expertise; arms; flowers; matter; violet-prom-dress-circa-1960; words; guide; intimate—see; way; Biology; birds
On Being Fired Again,Erin Belieu,"Jan 9, 2016",http://poetry.lib.uidaho.edu/index.php/poems/on-being-fired-again/,negative,-0.369562,0.186451,0.427074,0.102257,0.010,0.3696,contagious lack; salad bars; Poor attitude; obsessive love—; hard candy; little cards; team spirit; tulip tree; chain gang; register key; romance novels; post-rushhour street; neighborhood pool; rent check; snood; perversity; pleasures; apron; shame; heroines; throat; Larry; times—; cash; time; Jack; tardiness; door; covers; freedom; America; family
Monopoly,Kerry James Evans,"Jan 2, 2016",http://poetry.lib.uidaho.edu/index.php/poems/monopoly/,negative,-0.167931,0.397507,0.145896,0.140854,0.182,0.556407,Free Parking; wheelbarrow—a piece; New York; worst smile; hotel shampoo; Boardwalk; Community Chest; mustached man; good cards; Railroads; property; grasp; monopolies; ghetto; shoulders; cannon; Deluxe; landlord; jail; earnings; supper; Baltic; percent; stack; dollars; Fed; Edition; pastels; roll; fight; rent; hat; Utilities; husband; barrel; suburbs; Chance; land; hotels; middle; game; Cook; edge; father
Packed in Ice,Kerry James Evans,"Feb 9, 2016",http://poetry.lib.uidaho.edu/index.php/poems/packed-in-ice/,negative,-0.584867,0.11043,0.04208,0.260499,0.365,0.293725,nbsp; peach; freezer; wife; stares; knives; block.&nbsp; right; line; emotion; marriage; ice; ripe; artifact
Plundering,Kerry James Evans,"Apr 30, 2016",http://poetry.lib.uidaho.edu/index.php/poems/plundering/,negative,-0.143407,0.128072,0.538975,0.167239,0.265,0.472564,Ole Maude; coffee shop; stove Grandmother; county dump; gravel roads; Swisher Sweets; iron bridge; Chevy Luv; leapt several times; snake-infested water; n’t drive; hangouts; stench; cooks; mints; Cecil; breathe; smell; caffeine; pickup; thing; hold; cream; mint; junk; eye; mouth; sugar; boy; cancer; feet
Volcano,Kerry James Evans,"Feb 18, 2016",http://poetry.lib.uidaho.edu/index.php/poems/volcano/,negative,-0.344721,0.127234,0.193063,0.454559,0.112,0.466339,mines; antitank mines; Russian mines; French mines; precision-bombing air strike; legless soldier; brother’s leg; different phases; grocery store; safe zone; desert; soldiers; minefield; detonation; battalions; Mojave; kilometer; scatter; TOC; pension; jaw; Volcano; training; drill; failure; path; mouth; flags; cap; sand; training—crawl; town; bone; machine; land; television
Blue Ribbon Tomato Soup,Kerry James Evans,"Apr 11, 2016",http://poetry.lib.uidaho.edu/index.php/poems/blue-ribbon-tomato-soup/,positive,0.119711,0.151413,0.456407,0.10613,0.270,0.539997,grilled cheese; stove eye—; garlic salt; black pepper; peanut shack; Cracker Barrel; milk jug; expiration date; coffee shop; meal; food stamps; county fair; Country Kitchen; Carbon Hill; sister; brother; buttered; skillet; plasticware; wink; parents; napkins; soup; neighbors; sides; dinner; chef; arm
What Makes the Green Grass Grow,Kerry James Evans,"Jan 12, 2016",http://poetry.lib.uidaho.edu/index.php/poems/what-makes-the-green-grass-grow/,negative,-0.109007,0.147565,0.60939,0.022211,0.073,0.236662,plastic pop-up targets; fresh M16; sewer grate; fresh ideals; fresh hands; maggots chant; military man; natural order; green grass; wrinkle; camouflage; garrison; fury; bolt; afterlife; bullets; soldier; hit; brass; dirt
